,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,2.89860683950831,0.00487830490929778,0.161170754367406,2.58365440125823,2.78736322643205,2.9017284696524,3.01057530741816,3.19338811616288,1091.52727960429,1.00083364718985
delta,22.1095882731196,0.0429448707342685,1.46682583683787,19.2072444137022,21.1152831543191,22.1579295415364,23.0831058750908,24.9722426338047,1166.63365951568,1.00028570116882
beta[1],-4.35928694479734,0.00552138262716563,0.178104826766993,-4.68764932527798,-4.4816939702923,-4.36676420200283,-4.23847388429993,-4.00919420769855,1040.53259644877,1.00099676735126
beta[2],4.66465520463114,0.00486701972178198,0.159787139336791,4.36873794076304,4.55311527419911,4.66581163014886,4.77153737759835,4.98208372102605,1077.84777909782,1.00047388061988
beta[3],-5.39659964262295,0.00965234925318057,0.326307952462598,-6.04214476571064,-5.62563137842965,-5.39044564814054,-5.17350127355086,-4.77914105505991,1142.85007426172,0.99965452055266
beta[4],-0.987752258093035,0.0113373236163354,0.394949975374459,-1.7473781044112,-1.24960652404853,-1.00284448858202,-0.717904403571787,-0.233202049846991,1213.56514704157,0.999634414578238
epsilon[1],-9.59025617608134,0.0513408090280832,1.73541298023872,-12.9731874412368,-10.6681584361765,-9.67437640072263,-8.40111376051187,-6.20626137435113,1142.56329184018,1.00075986673511
epsilon[2],-36.8941450023816,0.0618596753892919,1.92630518775249,-40.7350063861665,-38.212287776584,-36.938675828684,-35.663194924427,-33.025367157482,969.694461456933,0.999974181134751
epsilon[3],37.1890632423253,0.0869454713827079,2.60792076987435,31.8939459954349,35.4479436643127,37.2682058390198,38.9932101775943,41.991463381748,899.694060713551,1.00024591031144
epsilon[4],-15.3661186244248,0.047742884411748,1.53287236347797,-18.3056037554678,-16.4072452562544,-15.3663227149506,-14.3215350451352,-12.3958826849754,1030.84811564896,1.00046159552149
mu[1],0.46420893935703,5.12577715454571e-05,0.00249085414937058,0.459548320625081,0.462508310544762,0.464171854480457,0.465772573272353,0.469391442311151,2361.44130050234,0.99974170097991
mu[2],0.388405911929596,0.000221330869392981,0.00728561940772713,0.37454847165672,0.383488315860955,0.388314612897695,0.393195962253415,0.403181951890303,1083.55006129128,1.00083267344712
mu[3],0.641236894911319,0.000196811488946056,0.00657275490247113,0.628516432697149,0.636828832504199,0.64099619321023,0.64565165256807,0.654473414068286,1115.30585384532,1.00075264255805
mu[4],0.276081176598958,0.000258280002080509,0.00919043167847839,0.259242003458357,0.269781020627966,0.275928324920879,0.282122800637473,0.29463052298089,1266.16486852491,1.0004024770279
mu[5],0.543523045792434,0.000282459670526128,0.00901536906187447,0.526190025343756,0.537095753587242,0.54366431468564,0.549487364400516,0.561582410192935,1018.71833768071,1.0008606875168
mu[6],0.460756525942856,0.000219575146867938,0.00714177516440277,0.447160519545884,0.456200041723935,0.460590751635955,0.4654588520022,0.47525829877201,1057.90332863376,1.00037888652513
mu[7],0.249092753664642,0.000232971257915926,0.00826953150832264,0.233913559140078,0.243442823678607,0.249090721491508,0.254590621024685,0.265648803199874,1259.9610603771,1.00037123369469
mu[8],0.508640115355479,0.000309351779634275,0.0102405595471732,0.489368944109671,0.501479257047525,0.50873748921208,0.515694793360872,0.528868365243727,1095.8273538074,1.0004498565377
mu[9],0.571068728183925,0.000289850391796522,0.009208007889871,0.553483980847778,0.564907702501781,0.571215961468943,0.577306233886868,0.589441932366305,1009.21473313779,1.00111220754772
mu[10],0.474774881273651,0.000179424768134831,0.00580732634934731,0.463646135335827,0.470778479664525,0.474619826638521,0.478662238723004,0.486406769419619,1047.58115537679,1.00096151660299
mu[11],0.279458594996326,0.000278912106954112,0.00943579635878551,0.262094458243805,0.272719973458237,0.279409581810504,0.285706655239382,0.299001977602108,1144.51736434874,1.0003765611522
mu[12],0.418190347008598,0.000281249990630278,0.00931373579913916,0.400805607214514,0.411836741974294,0.418275025414328,0.424485879012111,0.437017783642073,1096.63674868566,1.00028993850285
mu[13],0.295371390297972,0.000217548146098829,0.00722826080449551,0.281162113710733,0.290417880004097,0.295272165614216,0.300102107996144,0.309423206116028,1103.96893997643,1.00045096748651
mu[14],0.369188065435358,0.000333067623798315,0.0107902495073,0.349329992453654,0.361390120151991,0.369320879253428,0.376319988974714,0.390724456195801,1049.5379263834,1.00080780486016
mu[15],0.215133618239912,0.000304122682802917,0.0111316347314807,0.19436779858607,0.207586959106242,0.21472239125168,0.222379668963108,0.237715532134353,1339.73921128307,0.99976930381441
mu[16],0.185293717362353,6.46610862210003e-06,0.000325127230965306,0.184648763079811,0.185085446945554,0.185291613521642,0.185508105514326,0.185942545900528,2528.2539749058,0.999711297175916
mu[17],0.29536397879272,0.000361168873939607,0.012816220568004,0.271674166227927,0.286610932070658,0.294922248269997,0.304082151890158,0.32135594422938,1259.21333976673,0.999664920582032
mu[18],0.281746948381397,0.000295565782512725,0.0107925448235773,0.260876142044104,0.274549243375868,0.28139761502609,0.288715585467154,0.303302798196979,1333.33540958008,0.999888545820528
mu[19],0.4642942746126,0.000366274438155451,0.0120795148886098,0.441625327069887,0.455939796460315,0.46425802110103,0.472423851859344,0.489228256923844,1087.64148757881,1.00022674247925
mu[20],0.355125550381949,0.000253165959954593,0.00819526579106513,0.339551557250551,0.349512923866522,0.354988520611858,0.360637867906794,0.371637070526151,1047.88944111537,1.00097754621019
mu[21],0.57095501959572,0.000449606605904047,0.0145911869162269,0.543485443625479,0.560884266322649,0.570978404503168,0.580728131535462,0.600287106566519,1053.21218439462,1.00044515749328
mu[22],0.405670945743466,0.000217219682642509,0.00751744211184526,0.391691735777276,0.400552743023514,0.405491533854946,0.410821096146029,0.420927666180491,1197.682862349,0.999663702566072
mu[23],0.325685248165125,0.000250331682262606,0.0086981498024178,0.309653483173759,0.319558669289793,0.325719838273063,0.331382626314227,0.343500526662933,1207.31926354923,1.00033637814737
mu[24],0.387099749454778,0.000186472567950058,0.00672657497755229,0.374387785217561,0.38244048478062,0.387085016081286,0.391619883553301,0.400421642151898,1301.24199724716,1.00034772008372
mu[25],0.284952625054331,2.30516663803089e-05,0.00105545685797351,0.282739857721872,0.284306527821414,0.284989674241948,0.285679214312901,0.28690067280297,2096.41047556146,0.99994041196984
phi[1],1901.66040810418,15.4221318556156,501.833084184377,1095.45232323615,1537.42083829932,1851.37989963134,2198.54009280134,3032.04276692831,1058.83857572268,0.999612415727108
phi[2],9.76577904120769,0.0125275823928867,0.558916717798373,8.69112616737565,9.38237392377504,9.75523861807832,10.1353200950824,10.9162379543471,1990.4884622332,1.00095300926603
phi[3],0.769443045508564,0.00610310223101825,0.193128421646843,0.474788070039824,0.634539182292527,0.74101449508576,0.876696887235276,1.22265264280724,1001.36196844172,1.00024724554178
phi[4],1.30532857759175,0.00403901235907014,0.159747782212282,1.01174082558035,1.19232654167622,1.29603085163444,1.40727666476173,1.64137026890477,1564.2973547785,1.00011531141696
phi[5],3.95908623151011,0.0102868314709264,0.440712430982591,3.14813531092625,3.64791252154659,3.94403726213715,4.23967127395218,4.85613811759989,1835.47025797519,0.999602518793607
phi[6],35.2751551108288,0.0771854009569415,3.9021548389646,27.9472543325073,32.7197706709165,35.2300539556477,37.7178681835883,43.4801711120123,2555.86945422048,0.999600185319823
phi[7],2.77803772145762,0.00920401966400227,0.346430790545787,2.15420737162972,2.53946261929761,2.76595892171151,2.99044309689921,3.50411847598816,1416.70000047825,1.00059275378748
phi[8],1.77255006697318,0.00573454287307427,0.221610213023093,1.38248153674856,1.61969706290268,1.75366544301084,1.91059371454707,2.24592154422153,1493.41990125485,0.999709567171331
