            stats
parameter             mean           sd          2.5%          25%          50%          75%
  A[15]         0.36806136  0.077077526   0.237295850   0.31336256   0.36099467   0.41244600
  A[16]         2.30023306  0.489858628   1.514315500   1.96012862   2.24432489   2.57688860
  A[17]         0.87450255  0.220713386   0.530418019   0.71796512   0.84613496   0.99281827
  A[18]         0.61918317  0.109342290   0.431622015   0.54198567   0.60946887   0.68416742
  A[19]         5.07389741  0.655100350   3.908829156   4.63077399   5.02722508   5.46953779
  A[20]        27.86524007  6.515099410  17.060008270  23.27045196  27.17334232  31.73090413
  A[21]        18.10641155  3.743015101  11.604260019  15.44221388  17.82960471  20.49827274
  A[22]         2.19444309  0.461006636   1.481459451   1.85832456   2.14157620   2.44854715
  A[23]         1.12886393  0.117655550   0.913250028   1.04841363   1.12385658   1.20304382
  A[24]         0.94190223  0.169159324   0.658986799   0.82554345   0.92456325   1.03839988
  A[25]         0.65143158  0.175529339   0.374109432   0.52977277   0.62357741   0.74646909
  B[1]          0.69749321  0.096614769   0.521506697   0.63166168   0.69121731   0.75593282
  B[2]          7.51373297  0.768178904   6.152971820   6.98347720   7.46332344   7.98632158
  B[3]          4.17655366  0.693181020   2.943809763   3.69828343   4.13276871   4.60207245
  B[4]          6.79197510  0.794133369   5.348270835   6.22982725   6.74391626   7.31931013
  B[5]          9.76965743  1.343957584   7.435968667   8.82030620   9.67651533  10.64682341
  B[6]          7.40172070  1.138497480   5.394096152   6.59708937   7.33961017   8.08450926
  B[7]          7.48751494  1.000357343   5.711917519   6.79730347   7.42777290   8.12856666
  B[8]          3.94322291  0.481814241   3.074380180   3.60933554   3.92552412   4.25409383
  B[9]         21.43765336  4.845592101  13.564653131  17.93681054  20.97514987  24.33771029
  B[10]         4.76015075  0.386643607   4.039768244   4.49667277   4.74715555   5.02150174
  B[11]         4.73585493  0.655042943   3.590011699   4.26655031   4.70396508   5.16700794
  B[12]         2.63405201  0.281169279   2.129906491   2.44311268   2.61773828   2.81858701
  B[13]        10.41920378  1.734867569   7.441859553   9.23771373  10.30902961  11.41195215
  B[14]        20.95133197  4.624786483  13.168345256  17.74606740  20.47124541  23.67347074
  B[15]         3.31885164  0.574094672   2.314166610   2.91398042   3.27957025   3.68963363
  B[16]         0.71193544  0.133079084   0.490621652   0.61937652   0.69789034   0.78885297
  B[17]         2.84694051  0.526351619   1.962688475   2.47706141   2.80827869   3.15887824
  B[18]         3.50292342  0.480388516   2.644209391   3.17195471   3.47854605   3.80680496
  B[19]         3.98988371  0.532827989   3.068030847   3.62106449   3.94338609   4.31907104
  B[20]        17.78511949  3.756356548  11.576094347  15.23866362  17.41008644  19.91287638
  B[21]        15.23380700  2.927611003  10.245240773  13.13033304  14.99178194  17.02184036
  B[22]         1.59535303  0.217912351   1.230181419   1.44290395   1.57428528   1.72869203
  B[23]         2.69447442  0.272398523   2.195207164   2.50608831   2.68026353   2.86570282
  B[24]         1.81187615  0.224160618   1.404378643   1.66111597   1.79507897   1.95030580
  B[25]         0.36431840  0.067664673   0.248736052   0.31643735   0.35786244   0.40330453
  log_lik[1]    1.58448971  0.083971346   1.406779950   1.53249198   1.58846090   1.64440081
  log_lik[2]    1.07686791  0.037408642   1.003640193   1.05201995   1.07775102   1.10290908
  log_lik[3]    0.29985900  0.150370549   0.015566591   0.19714157   0.30233284   0.40083800
  log_lik[4]    0.44871974  0.219630719  -0.001622058   0.29850709   0.46167301   0.60613890
  log_lik[5]    0.70262449  0.096466420   0.497163014   0.64168116   0.70816511   0.77077912
  log_lik[6]    0.40356888  0.166944035   0.053961097   0.29060248   0.41034627   0.52096475
  log_lik[7]    0.86818480  0.065783387   0.729883935   0.82497468   0.86946381   0.91460829
  log_lik[8]    0.70603468  0.065238627   0.575336879   0.66281369   0.70870220   0.75050078
