,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,24.3932330026848,0.577731437088811,9.42234964848245,6.28359740129261,17.823388731459,23.7830930086843,30.8125173085802,42.6087063125264,265.990687501334,1.00750135765889
delta,-5.42187028653276,0.464972879508176,12.5061410441753,-28.7795160911724,-14.1810931123591,-5.78445699008492,2.3450540168135,20.4562839975996,723.42147976783,0.999601084079594
beta[1],-3.01498671679207,0.434961980008104,9.15090985930704,-21.0793816713293,-9.24545247924744,-2.98658588558606,3.27518730035659,14.432119496181,442.614829742385,1.00540049344022
beta[2],-8.09111652562656,0.0624083327619113,1.62243981096549,-11.1761754831787,-9.19173160186203,-8.09735219647419,-7.06302858083297,-4.70016293359376,675.852660335669,1.00180709166304
beta[3],-16.3757007271455,0.870266717174019,13.1604339374704,-42.954529558836,-25.5447404814257,-14.5378911843716,-6.54406627105181,4.77973499626213,228.683942010725,1.01193311982388
epsilon[1],-0.024645203819849,1.7133868100976,26.9196289606503,-52.1258942384594,-18.5063322187973,0.999890372286623,19.3514636723899,48.9761003830531,246.846685745646,1.01114995557725
epsilon[2],-8.79517258997554,0.444759581994244,6.91258542964997,-21.3951364091917,-13.7715034400072,-9.02281097162034,-4.03299530683778,4.59428365375898,241.562989934715,1.01049071816893
epsilon[3],15.6009064235074,1.19111949330066,18.4059704776538,-14.6097851127969,1.60858404386808,13.4026572025076,28.4186362843852,54.2405319923401,238.784854894116,1.01052863266332
mu[1],0.376225606488832,0.00154822979251594,0.0369449430297113,0.312289106304252,0.350573097942967,0.373037647085645,0.399379285647733,0.457960054821805,569.428450052073,1.00788019725854
mu[2],0.507446134437683,0.00809338142169252,0.128502570309854,0.306686768213129,0.410584676111131,0.484178393938555,0.598305438595364,0.772831483455219,252.094640521538,1.00965673048045
mu[3],0.490924236453067,0.0050440736756833,0.0762395400659146,0.348631650677705,0.433723129685134,0.494246072052449,0.54874394003838,0.62480307725422,228.453435006837,1.01317021179878
mu[4],0.643470143685168,0.00288908565928176,0.0462785989232314,0.557221878710393,0.6091440969643,0.647236528213731,0.678877701487514,0.723578129918038,256.589905897278,1.0108907052635
mu[5],0.487263074553954,0.00104544702861567,0.0293111842268559,0.432788277589146,0.468196525341786,0.485668996192007,0.506021552784589,0.548121465235121,786.072611952543,1.0002401298161
mu[6],0.71490819362702,0.00103409352171006,0.023297314826549,0.665197858539756,0.699946292749673,0.715811993932651,0.730547200996265,0.75806431428498,507.56550872699,1.00021001234591
mu[7],0.850441889324673,0.00175043794363704,0.0286761726765538,0.800890862543887,0.828831105189167,0.849035807409206,0.871417841580123,0.906179509887113,268.379250760387,1.01482256700684
mu[8],0.686915912313466,0.000895009984648468,0.0167867671368393,0.655174685506881,0.675484376757893,0.686033105133876,0.698541983957503,0.720027207478174,351.785853839044,1.00508739331388
mu[9],0.846876985141815,0.000919438348306473,0.0215508265351631,0.800079818560775,0.833596136341124,0.847876772639274,0.861875912343172,0.886140825805847,549.39238495051,1.00269463309482
mu[10],0.809400638102531,0.000604510833279732,0.0158546642004248,0.774564192690305,0.799832816447072,0.809906319115231,0.820389101093711,0.83807560653019,687.869288864173,1.00059272038827
mu[11],0.764838769535514,0.000426040032585325,0.0129220044248083,0.740951832750469,0.7563292531216,0.764229818377492,0.772850651792045,0.791124534342068,919.938833923053,1.00515471492868
mu[12],0.554370501594499,0.00508013024095032,0.0858767506351808,0.418257843806098,0.490063487475686,0.539796910551614,0.610005599654651,0.734318364223085,285.760050351032,1.009478458379
mu[13],0.412459122610276,0.00216405715704575,0.0486527417776332,0.329973961974912,0.379255973115403,0.407970073934193,0.441531602663358,0.518315800747002,505.448817372369,1.00248805484534
mu[14],0.809400638102531,0.000604510833279732,0.0158546642004248,0.774564192690305,0.799832816447072,0.809906319115231,0.820389101093711,0.83807560653019,687.869288864173,1.00059272038827
mu[15],0.376225606488832,0.00154822979251594,0.0369449430297113,0.312289106304252,0.350573097942967,0.373037647085645,0.399379285647733,0.457960054821805,569.428450052073,1.00788019725854
mu[16],0.686915912313466,0.000895009984648468,0.0167867671368393,0.655174685506881,0.675484376757893,0.686033105133876,0.698541983957503,0.720027207478174,351.785853839044,1.00508739331388
phi[1],3.55101160350174,0.227467145070104,3.56045075329135,0.873020872764615,1.68497486934354,2.59292002154505,4.21308326938364,10.6436068680299,245.003682850083,1.00023500885738
phi[2],1.49523705411664,0.0334661184127025,0.621121689852183,0.631488287887337,1.01985999203632,1.38435163275778,1.86175302123447,3.00690949998768,344.463098474131,1.01208211636619
phi[3],9.16458748597588,0.432601511636649,6.9202925222673,3.16229027435077,5.04212008424438,7.05738995301317,10.9621471468852,25.8330411370421,255.901504860606,1.00129977938556
phi[4],9.5896879566071,0.295686693117982,4.46151640415177,4.49459877410445,6.50797805417771,8.41506730688933,11.4488657887492,20.5495163831421,227.667703987806,1.00525799669284
phi[5],3.84560131145168,0.025923769758783,0.655557021858431,2.78892539614493,3.41008598339341,3.76970929669932,4.18505516699277,5.29608440792915,639.476568695521,0.999709727935138
phi[6],11.6305931126242,0.200059502624621,3.82645925681873,6.11651588743395,8.83542346669222,10.9638530754314,13.7149962538472,20.8969941451974,365.827052023979,1.00762321555611
phi[7],13.2438071782623,0.48625360356117,8.20215382569938,3.07192694126845,7.1060460274023,11.4196155766295,17.6242168066235,33.6259175124583,284.531369460221,1.01460040144807
phi[8],8.80951298500569,0.0245513793375357,0.998954092695003,7.01511326171396,8.08493148879436,8.77962841727554,9.45006068772926,10.8187020697654,1655.5384356937,0.999639326130754
phi[9],11.4418731723937,0.137027641714164,3.74786591959356,5.9073706546723,8.91152655917636,10.822951907254,13.2897312611578,20.2917405680104,748.086339237288,0.999603331256063
phi[10],13.6528514809787,0.0787691074152801,2.51678279723617,9.27028317629039,11.9619898180208,13.4200973905476,15.1503514041087,19.2199621275275,1020.89158761502,1.00062954355502
phi[11],10.4859466048352,0.155327187525812,2.71396179599106,6.26127893422561,8.53766072407147,10.1154207740268,12.1893707233983,16.5085677379291,305.289946265324,1.01091978737493
phi[12],3.22055815759277,0.0922109940187467,1.51669160223751,1.17925822696773,2.02906742911166,2.93936080195006,4.12222874815314,6.7609076865804,270.538549319056,1.01476732529934
phi[13],2.81250444310158,0.0206134635751201,0.623162624060805,1.734037373646,2.36165288936238,2.76995550845943,3.18531768140897,4.18758478535662,913.904581341094,1.00253961966349
phi[14],13.6528514809787,0.0787691074152801,2.51678279723617,9.27028317629039,11.9619898180208,13.4200973905476,15.1503514041087,19.2199621275275,1020.89158761502,1.00062954355502
phi[15],3.55101160350174,0.227467145070104,3.56045075329135,0.873020872764615,1.68497486934354,2.59292002154505,4.21308326938364,10.6436068680299,245.003682850083,1.00023500885738
phi[16],8.80951298500569,0.0245513793375357,0.998954092695003,7.01511326171396,8.08493148879436,8.77962841727554,9.45006068772926,10.8187020697654,1655.5384356937,0.999639326130754
A[1],1.30144401183325,0.0833824899298831,1.30468922700352,0.364762273226086,0.654663637934351,0.948386617827515,1.5044149930045,3.84360029821559,244.829887697818,0.999937212175641
A[2],0.692625729105881,0.00607445617351574,0.152152358902302,0.433997245053946,0.582141808580139,0.679250181063291,0.78347433873842,1.04647139027456,627.397196384137,1.00570449367406
A[3],4.10421631752931,0.130922294735082,2.16726457204518,1.85512751712917,2.74245719237564,3.50816986616888,4.82219120457566,9.30029076587901,274.029075702391,1.00181609558143
A[4],6.00563097173893,0.152015005694008,2.32097456013729,3.15938235207211,4.36812987753094,5.45443585713449,7.01821714194772,11.6225845112707,233.113722914765,1.00573133355033
A[5],1.88349851869385,0.0169720738872336,0.401454716809268,1.27761314363047,1.62313590112748,1.83060159290308,2.0770462319695,2.81165068387986,559.504137303245,0.999796259267733
A[6],8.34598490387097,0.151844170183786,2.85349759318001,4.23437371467745,6.28728733465837,7.87723712877633,9.93727576794558,15.29275689197,353.149646689556,1.00735214943081
A[7],11.0949824630877,0.390339958174294,6.61126603851256,2.74526631074926,6.1628483718734,9.65046905666441,14.6337574795574,27.4457356504127,286.868752424706,1.01413392269513
A[8],6.05071511992321,0.0162653180530934,0.6963851764943,4.80621348218144,5.54783809881182,6.02217526291498,6.50125419112314,7.49876380015703,1833.04833192968,0.999694095886199
A[9],9.7313831301133,0.123050833367234,3.3448259040805,4.8592205188863,7.46153212245152,9.15640599051535,11.3694284620766,17.7867925906866,738.886815619675,0.99960597219195
A[10],11.0707917128829,0.0704164800493877,2.15831844155709,7.33551290699935,9.61977234011939,10.8721473475735,12.3681577835993,15.8559401300915,939.468924493838,1.00078806616726
A[11],8.01348359150575,0.115999950866145,2.0545728638602,4.80805162282099,6.52659363783275,7.71973085211407,9.26343484469558,12.5105952197962,313.709366000301,1.01011988582304
A[12],1.69709743964207,0.0374236959822839,0.651825734272327,0.797187618509092,1.21790294692711,1.57617626949886,2.06598177835799,3.22133743614958,303.367918854247,1.0109917389271
A[13],1.1685330571621,0.0115616870615481,0.328668865144584,0.632844549367168,0.94218788248262,1.13442506139169,1.34624361585219,1.91217318911955,808.117869223101,1.00005449349231
A[14],11.0707917128829,0.0704164800493877,2.15831844155709,7.33551290699935,9.61977234011939,10.8721473475735,12.3681577835993,15.8559401300915,939.468924493838,1.00078806616726
A[15],1.30144401183325,0.0833824899298831,1.30468922700352,0.364762273226086,0.654663637934351,0.948386617827515,1.5044149930045,3.84360029821559,244.829887697818,0.999937212175641
A[16],6.05071511992321,0.0162653180530934,0.6963851764943,4.80621348218144,5.54783809881182,6.02217526291498,6.50125419112314,7.49876380015703,1833.04833192968,0.999694095886199
