,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alpha,-0.961038575640378,0.000590029705074779,0.0207964637089013,-1.00025553871637,-0.975100858732314,-0.962231415864866,-0.947694117140504,-0.917375227995469,1242.31357695648,1.00239763120443
delta,-11.6844336712672,0.0349256763167918,1.18024379625308,-13.9612235451674,-12.4801950945461,-11.6683944110063,-10.9191544278739,-9.36729010345033,1141.96765494586,1.00048835663309
epsilon[1],33.3103441695092,0.0415986774617635,1.48041319512725,30.351201802566,32.2866956585191,33.3372549811402,34.3409364703378,36.1881254286592,1266.50482282001,1.00145964345062
epsilon[2],-0.172952396273149,0.0302476034915964,1.19683531646297,-2.39800847766309,-1.02835455274476,-0.16729254085389,0.643067979031297,2.18199267054397,1565.62176167927,1.0005474668687
epsilon[3],-12.3005952986548,0.0476721105863798,1.68233954074476,-15.5323633162739,-13.4247239970057,-12.3187049607476,-11.1663828414785,-9.03015148149646,1245.37041720154,1.0002907689817
mu[1],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[2],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[3],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[4],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[5],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[6],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[7],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[8],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[9],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[10],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[11],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[12],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[13],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[14],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[15],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[16],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[17],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[18],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[19],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[20],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[21],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[22],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[23],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
mu[24],0.276689607264905,0.000118252564301783,0.00416641409320703,0.268891182837953,0.273864961228226,0.276431650768742,0.279348790003015,0.285493011461209,1241.37709787246,1.00242550517855
